NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,6,B2,2,0,2,"3,542","3,084",2014,1,B2,0,4/23/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,59,B2,2,0,2,"3,226","2,515",2014,1,B2,"885,000",10/4/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,174,B2,2,0,2,"2,120","3,018",2014,1,B2,0,2/6/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,250,B2,2,0,2,"5,223","2,908",2011,1,B2,"1,148,000",9/12/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,255,B2,2,0,2,"2,143","2,908",2011,1,B2,"1,100,000",8/4/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,289,B2,2,0,2,"3,543","2,419",2011,1,B2,"1,150,000",12/1/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,298,B2,2,0,2,"3,542","3,084",2014,1,B2,"1,320,000",9/28/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,35,B2,2,0,2,"2,700","1,864",1950,1,B2,0,11/8/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,37,B2,2,0,2,"3,000","1,864",1950,1,B2,0,11/9/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15913,74,B2,2,0,2,"4,000","1,904",1920,1,B2,0,4/18/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15915,43,B3,2,0,2,"4,000","1,999",1910,1,B3,"820,000",11/15/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,B2,2,0,2,"6,000","2,926",1910,1,B2,0,8/14/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,70,B2,2,0,2,"4,000","2,500",2022,1,B2,"958,669",3/13/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,23,B3,2,0,2,"3,470","2,164",1899,1,B3,"670,000",1/13/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,40,B2,2,0,2,"2,107","2,244",2002,1,B2,"625,000",1/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,143,B2,2,0,2,"2,862","2,288",2004,1,B2,0,5/28/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,B9,2,0,2,"9,677","1,869",1960,1,B9,0,5/13/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,105,B1,2,0,2,"3,179","2,281",2022,1,B1,"783,500",1/17/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,106,B2,2,0,2,"3,179","2,281",2022,1,B2,"814,600",1/27/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,107,B2,2,0,2,"3,179","2,281",2022,1,B2,"773,870",7/17/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16008,28,B2,2,0,2,"4,000","2,000",2004,1,B2,"625,000",7/24/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,10,B2,2,0,2,"3,400","2,068",1996,1,B2,"699,999",5/19/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,30,B2,2,0,2,"3,400","2,068",1996,1,B2,"625,000",11/6/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,B2,2,0,2,"3,400","2,068",1996,1,B2,"764,181",10/23/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,48,B2,2,0,2,"3,400","2,068",1996,1,B2,100,10/11/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,11,B3,2,0,2,"2,700","1,422",1940,1,B3,0,6/5/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,40,B2,2,0,2,"4,000","2,150",2001,1,B2,"965,404",2/14/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,13,B2,2,0,2,"3,000","2,306",2022,1,B2,"955,000",9/15/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,15,B2,2,0,2,"3,000","2,416",2022,1,B2,"957,155",9/27/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,17,B2,2,0,2,"3,000","2,416",2022,1,B2,"992,794",8/10/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,18,B2,2,0,2,"3,000","2,306",2022,1,B2,"935,000",6/8/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,22,B9,2,0,2,"2,725","1,848",1960,1,B9,20,6/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,7,B9,2,0,2,"3,450","1,974",1960,1,B9,0,4/29/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,69,B2,2,0,2,"3,164","1,978",2000,1,B2,"620,000",5/3/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,39,B9,2,0,2,"2,950","2,250",1960,1,B9,"710,000",12/7/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,53,B9,2,0,2,"2,950","2,250",1960,1,B9,0,7/14/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,9,B2,2,0,2,"4,000","2,496",2001,1,B2,0,10/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,25,B2,2,0,2,"2,000","1,344",1920,1,B2,0,4/4/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,27,B1,2,0,2,"3,000","1,890",2003,1,B1,"242,000",5/8/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,34,B2,2,0,2,"4,000","1,508",1930,1,B2,"428,046",4/3/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,48,B2,2,0,2,"3,000","1,738",2003,1,B2,0,5/3/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,52,B2,2,0,2,"4,000","1,504",1930,1,B2,"360,146",9/19/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,59,B1,2,0,2,"4,000","2,400",2002,1,B1,"892,500",12/11/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16035,28,B1,2,0,2,"2,929","1,860",2006,1,B1,0,10/27/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,B9,2,0,2,"2,550","2,016",1940,1,B9,0,7/19/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,B9,2,0,2,"2,550","2,016",1940,1,B9,0,10/10/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,B9,2,0,2,"2,550","2,016",1940,1,B9,"450,000",3/29/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,54,B9,2,0,2,"2,550","1,690",1940,1,B9,"630,000",8/23/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,70,B9,2,0,2,"3,167","1,848",1940,1,B9,0,9/28/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16038,66,B3,2,0,2,"4,000","2,240",1930,1,B3,0,6/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,22,B3,2,0,2,"4,000","2,993",1910,1,B3,"1,250,500",7/5/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,46,B1,2,0,2,"4,000","3,381",1920,1,B1,0,3/24/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,52,B2,2,0,2,"4,000","4,217",1930,1,B2,"445,000",7/13/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,67,B2,2,0,2,"2,434","1,785",2006,1,B2,10,7/22/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,10,B9,2,0,2,"3,000","1,512",1950,1,B9,"560,000",3/15/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,26,B9,2,0,2,"2,717","1,916",1940,1,B9,"560,000",4/10/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,61,B9,2,0,2,"3,750","2,160",1950,1,B9,"770,000",10/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,15,B9,2,0,2,"2,625","1,617",1960,1,B9,0,6/15/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,35,B9,2,0,2,"3,750","1,365",1940,1,B9,"690,000",8/25/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16048,24,B2,2,0,2,"4,400","1,487",2021,1,B2,"1,100,000",2/1/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16049,28,B3,2,0,2,"4,000","1,774",1920,1,B3,"1,300,000",3/16/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16049,37,B3,2,0,2,"4,000","1,147",1950,1,B3,"620,000",12/1/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16050,13,B3,2,0,2,"2,500","1,425",1925,1,B3,100,4/14/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,12,B1,2,0,2,"2,025","1,920",1945,1,B1,"595,000",10/19/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,60,B9,2,0,2,"3,000","2,068",1950,1,B9,0,4/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,62,B9,2,0,2,"3,000","2,068",1950,1,B9,0,3/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16052,35,B2,2,0,2,"4,000","1,976",1920,1,B2,0,4/21/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16052,50,B3,2,0,2,"3,000","1,610",1930,1,B3,"555,000",7/20/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16058,37,B2,2,0,2,"3,000","2,001",1998,1,B2,"643,877",3/15/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16058,59,B2,2,0,2,"2,500","2,142",2000,1,B2,"916,425",11/30/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,19,B2,2,0,2,"2,800","2,094",2022,1,B2,"936,790",1/30/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,20,B2,2,0,2,"3,000","2,094",2022,1,B2,"936,790",1/31/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16062,23,B2,2,0,2,"2,800","2,094",2022,1,B2,"936,790",1/6/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16078,21,B2,2,0,2,"4,000","4,201",1920,1,B2,0,4/21/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16090,68,B2,2,0,2,"1,964","2,905",2004,1,B2,"999,000",8/24/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16091,28,B2,2,0,2,"2,161","2,905",2004,1,B2,"56,004",10/5/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,11,B2,2,0,2,"3,832","2,560",2007,1,B2,"655,500",7/28/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,105,B2,2,0,2,"2,384","2,920",2007,1,B2,0,11/21/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,16092,127,B2,2,0,2,"3,842","3,144",2007,1,B2,"483,643",2/13/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15838,39,C0,3,0,3,"3,804","3,960",2007,1,C0,"1,010,000",7/31/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15903,34,C0,3,0,3,"2,000","3,120",2005,1,C0,"724,500",4/28/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,21,C0,3,0,3,"2,900","1,960",2002,1,C0,"596,000",5/24/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,21,C0,3,0,3,"2,900","1,960",2002,1,C0,0,8/30/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15910,22,C0,3,0,3,"2,700","1,960",2002,1,C0,"786,000",9/12/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15916,60,C0,3,0,3,"4,000","1,899",1910,1,C0,"740,000",12/13/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,15916,64,C0,3,0,3,"4,000","2,706",1910,1,C0,0,6/7/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16029,68,C0,3,0,3,"2,750","2,016",1960,1,C0,0,10/20/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16040,30,C0,3,0,3,"4,000","2,362",1920,1,C0,0,8/25/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16041,1,C0,3,0,3,"4,000","3,051",1920,1,C0,"450,000",6/13/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16041,1,C0,3,0,3,"4,000","3,051",1920,1,C0,"633,000",10/11/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16042,14,C0,3,0,3,"4,000","4,039",1920,1,C0,0,10/2/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16042,38,C0,3,0,3,"4,000","2,756",1910,1,C0,0,6/16/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16042,50,C0,3,0,3,"4,000","2,316",1930,1,C0,"999,999",9/1/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16053,43,C0,3,0,3,"4,000","3,494",1910,1,C0,"640,000",6/15/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16064,22,C0,3,0,3,"4,000","2,259",1915,1,C0,"875,000",6/29/2023
ARVERNE,03 THREE FAMILY DWELLINGS,1,16081,26,C0,3,0,3,"4,000","4,126",1920,1,C0,"740,000",10/11/2023
ARVERNE,04 TAX CLASS 1 CONDOS,1A,15931,1011,R3,1,,1,,,2007,1,R3,"430,000",7/3/2023
ARVERNE,04 TAX CLASS 1 CONDOS,1A,15931,1014,R3,1,,1,,,2007,1,R3,"520,000",2/28/2023
ARVERNE,04 TAX CLASS 1 CONDOS,1A,15932,1003,R3,1,,1,,,2007,1,R3,"425,000",1/12/2023
ARVERNE,04 TAX CLASS 1 CONDOS,1A,15933,1033,R3,1,,1,,,2007,1,R3,"430,000",10/19/2023
ARVERNE,04 TAX CLASS 1 CONDOS,1A,15933,1055,R3,1,,1,,,2007,1,R3,"435,000",8/22/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1,15965,12,B2,2,0,2,"2,169",0,2023,1,V0,"75,000",7/31/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,15966,8,V0,0,0,0,"1,825",0,,1,V0,"20,000",3/27/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16034,50,V0,0,0,0,"4,000",0,,1,V0,0,9/6/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16049,22,V0,0,0,0,"10,400",0,,1,V0,"1,300,000",3/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16049,30,V0,0,0,0,"6,000",0,,1,V0,"1,300,000",3/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16058,39,V0,0,0,0,"3,000",0,,1,V0,"945,000",11/20/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16064,16,V0,0,0,0,"2,000",0,,1,V0,"650,000",2/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16064,17,V0,0,0,0,"2,000",0,,1,V0,"650,000",2/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16064,18,V0,0,0,0,"2,000",0,,1,V0,"650,000",2/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16064,19,V0,0,0,0,"2,000",0,,1,V0,"650,000",2/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16064,20,V0,0,0,0,"4,000",0,,1,V0,"650,000",2/16/2023
ARVERNE,05 TAX CLASS 1 VACANT LAND,1B,16065,47,V0,0,0,0,"2,815",0,,1,V0,"85,000",9/19/2023
ARVERNE,22 STORE BUILDINGS,4,16088,1,K1,0,1,1,"4,386","4,315",2020,4,K1,0,9/18/2023
ARVERNE,22 STORE BUILDINGS,4,16088,2,K1,0,1,1,"4,413","4,411",2019,4,K1,0,8/23/2023
ARVERNE,29 COMMERCIAL GARAGES,4,16013,1,G7,0,0,0,"32,939",0,,4,G7,"5,600,000",2/2/2023
ARVERNE,31 COMMERCIAL VACANT LAND,2,15843,1,D6,290,4,294,"49,782",0,2023,4,V6,"11,500,000",6/26/2023
ARVERNE,31 COMMERCIAL VACANT LAND,4,15845,4,V1,0,0,0,"2,681",0,,4,V1,"117,675",12/1/2023
ARVERNE,31 COMMERCIAL VACANT LAND,4,16063,1,V1,0,0,0,"13,500",0,,4,V1,"780,000",2/22/2023
ARVERNE,31 COMMERCIAL VACANT LAND,4,16063,10,V1,0,0,0,"4,000",0,,4,V1,"780,000",2/22/2023
ARVERNE,36 OUTDOOR RECREATIONAL FACILITIES,4,16063,27,Q8,0,0,0,"17,600",0,,4,Q8,"780,000",2/22/2023
ARVERNE,41 TAX CLASS 4 - OTHER,4,16065,75,Z9,0,1,1,"21,850",0,1930,4,Z9,"1,579,500",2/22/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,506,13,A1,1,0,1,"2,800","1,980",1920,1,A1,"1,206,000",5/2/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,515,118,A5,1,0,1,602,"1,000",1910,1,A5,"645,000",4/10/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,565,9,A5,1,0,1,"1,602","1,224",1945,1,A5,0,8/7/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,572,31,A1,1,0,1,"2,888","1,701",1920,1,A1,"1,250,000",11/14/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,595,32,S1,1,1,2,"2,000","2,400",1928,1,S1,"1,850,000",5/26/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,598,19,A2,1,0,1,"2,500",902,1930,1,A2,"10,500,000",2/1/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,598,63,S0,1,2,3,"1,875","3,644",1915,1,S0,"2,580,000",3/16/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,611,4,S1,1,1,2,"1,800","2,800",1935,1,S1,"2,000,000",10/11/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,612,12,A5,1,0,1,"1,900","2,065",1945,1,A5,0,11/6/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,615,46,A1,1,0,1,"2,523","1,032",1910,1,A1,"1,205,000",9/5/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,625,8,S1,1,1,2,"1,900","2,356",1927,1,S1,"1,545,000",3/10/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,633,49,A1,1,0,1,"2,521","1,218",1920,1,A1,"1,040,000",11/28/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,647,69,A2,1,0,1,"2,500",800,1901,1,A2,0,1/31/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,650,53,A5,1,0,1,"2,000","1,800",1930,1,A5,"1,425,000",1/10/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,651,52,S1,1,1,2,"2,462","2,720",1925,1,S1,0,12/10/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,652,47,A5,1,0,1,"2,067","2,078",1945,1,A5,"1,425,000",6/5/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,653,40,A5,1,0,1,"3,736","2,214",1910,1,A5,"998,500",6/8/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,655,11,A5,1,0,1,"1,725",856,1901,1,A5,0,4/28/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,659,39,A5,1,0,1,"1,411","1,395",1940,1,A5,"958,000",1/17/2023
ASTORIA,01 ONE FAMILY DWELLINGS,1,659,128,A5,1,0,1,"1,997","1,395",1940,1,A5,0,8/23/2023
